village,place,lon,lat,osm_id,heuristic_underserved_load,person_minutes_saved_one_way
Passumpsic,hamlet,-72.0277126,44.376255,158817314,42536.214367849534,24844.57191100719
East Brownington,hamlet,-72.0857754,44.8007833,158837452,58459.91821823071,24623.622238227526
Tillotson Mill,hamlet,-72.5179351,44.7814727,158905179,73312.9812083784,24408.660687031734
Maple Corner,hamlet,-72.4945363,44.376074,158813479,48515.086729955474,24390.665049361556
West Burke,village,-71.9796912,44.6415291,158866587,44164.11293367375,24167.774999944737
Groton,village,-72.1955074,44.2104648,158818222,28798.93691894949,23543.76997772775
Concord,village,-71.888608,44.4288767,158809932,29646.806934445187,23502.10267462046
Kents Corners,hamlet,-72.4850265,44.3687863,158818638,49371.169417329795,23342.68636311803
Calais,village,-72.4675733,44.3694315,6538388177,55128.666573323855,23330.489082782922
East Saint Johnsbury,hamlet,-71.9453715,44.4386753,158859702,30365.632118573714,23056.66361613832
Burke Hollow,hamlet,-71.9498078,44.6226888,158854736,42038.69705337122,22707.073784794073
Jay,village,-72.4381452,44.9481252,158844127,27579.424689483967,22541.92423204008
Worcester,village,-72.5504119,44.3736006,158866868,31893.99558622192,22289.855119086686
Newport Center,village,-72.3065868,44.950776,158862194,23008.886227025836,22252.401927501676
Ewells Mills,hamlet,-72.1714865,44.3600585,158811240,59439.29774343531,22076.376650384096
Barnet,village,-72.0495301,44.2966923,158846301,36846.88317268377,21969.538536772023
North Concord,hamlet,-71.8566027,44.4687608,158896395,30836.69451682421,21677.133703470325
Putnamville,hamlet,-72.5659437,44.3417241,158824937,27999.16962291704,21413.987169779302
East Burke,village,-71.9405616,44.5891497,158919136,40079.01162698736,20970.282897422534
East Barnet Inwood Station,hamlet,-72.0375941,44.3267268,158838232,38758.58657352599,20078.32234616448
Lunenburg,village,-71.6820321,44.4631136,158903533,23491.242426191086,19872.075400488877
Westmore,village,-72.0548723,44.7711201,158804634,63075.83844400062,19687.055782331892
Ithiel Falls,hamlet,-72.7245671,44.6492171,158844252,22391.463051037415,19660.59314968611
Shady Rill,hamlet,-72.589278,44.3442239,158846310,27912.219117426474,19634.26249835201
Newark Hollow,hamlet,-71.9289841,44.6997735,158874946,60216.47303481835,19449.882066407456
