GEOID20,POP20
500059571002036,21
500059571002037,3
500059571002038,0
500059571002040,49
500059571001000,10
500059571001001,27
500059571001003,6
500059571001004,50
500059571001005,15
500059571001007,4
500059571001008,6
500059571001010,0
500059571001011,10
500059571001013,18
500059571001014,11
500059571001016,53
500059571001017,1
500059571001018,5
500059571001020,24
500059571001021,18
500059571001023,13
500059571001024,34
500059571001026,11
500059571001027,33
500059571001028,4
500059571001030,7
500059571001031,2
500059571001033,9
500059571001034,81
500059571001035,9
500059571001036,34
500059571002041,10
500059571002043,0
500059571002044,24
500059571002046,31
500059571002047,23
500059571002049,27
500059571002050,59
500059571002051,3
500059571002053,165
500059571002054,5
500059571002056,12
500059571002057,12
500059571002059,10
500059571002060,0
500059571002061,0
500059571002063,8
500059571002064,5
500059571001039,7
500059571001042,0
500059571001045,29
500059571001049,0
500059571001052,0
500059571002001,34
500059571002005,0
500059571002008,11
500059571002011,11
500059571002014,0
500059571002032,4
500059571002035,34
500059571002039,11
500059571002042,3
500059571002045,17
500059571002048,12
500059571002052,11
500059571002055,46
500059571002058,12
500059571002062,1
500059571001002,63
500059571001006,9
500059571001009,50
500059571001012,4
500059571001015,4
500059571001019,10
500059571001022,7
500059571001025,12
500059571001029,3
500059571001032,33
500059572001015,36
500059572002049,40
500059572001001,25
500059572001002,10
500059572001003,28
500059572001004,23
500059572001005,51
500059572001006,0
500059572001007,0
500059572001008,0
500059572001009,0
500059572001010,12
500059572001011,24
500059572001012,2
500059572001013,450
500059572001014,2
500059572001016,8
500059572001017,55
500059572001019,16
500059572001020,5
500059572001022,0
500059572001023,37
500059572001024,0
500059572001026,0
500059572001027,0
500059572001029,6
500059572001030,9
500059572001032,6
500059572001033,53
500059572001035,8
500059572001036,18
500059572001037,22
500059572001039,0
500059572002000,10
500059572002002,0
500059572002003,61
500059572002005,0
500059572002006,0
500059572002007,7
500059572002009,0
500059572002010,0
500059572002012,0
500059572002013,49
500059572002014,10
500059572002015,0
500059572002016,45
500059572002017,0
500059572002018,0
500059572002019,0
500059572002020,20
500059572002021,9
500059572002022,0
500059572002023,0
500059572002024,23
500059572002025,0
500059572002026,48
500059572002027,67
500059572002029,9
500059572002030,45
500059572002033,15
500059572002034,15
500059572002036,15
500059572002037,29
500059572002038,59
500059572002039,0
500059572002040,54
500059572002041,35
500059572002042,71
500059572002043,89
500059572002044,59
500059572002045,361
500059572002046,22
500059572002047,19
500059572002048,8
500059572002050,0
500059572002032,22
500059572002035,2
500059572001000,45
500059572001018,18
500059572001021,3
500059572001025,6
500059572001028,0
500059572001031,0
500059572001034,48
500059572001038,14
500059572002001,12
500059572002004,21
500059572002008,0
500059572002011,0
500059572002028,150
500059572002031,17
500059573002023,31
500059573003039,18
500059573002031,0
500059573002032,47
500059573003001,25
500059573003002,14
500059573003004,0
500059573003005,0
500059573003007,1
500059573003008,20
500059573003010,4
500059573003011,12
500059573003012,0
500059573003014,86
500059573003015,46
500059573003017,30
500059573003018,10
500059573003020,10
500059573003021,24
500059573003022,17
500059573003024,12
500059573003025,5
500059573003027,7
500059573003028,16
500059573003029,1
500059573003030,113
500059573003031,0
500059573003032,8
500059573003033,0
500059573003034,0
500059573003035,37
500059573003036,9
500059573003037,9
500059573003038,7
500059573003040,5
500059573003041,45
500059573003042,0
500059573003043,30
500059573003045,22
500059573003046,17
500059573003048,14
500059573003049,14
500059573003051,0
500059573003052,37
500059573003053,0
500059573003055,6
500059573003056,9
500059573003058,276
500059573003059,8
500059573003061,20
500059573001000,3
500059573001002,12
500059573001003,137
500059573001005,39
500059573001006,23
500059573001007,19
500059573001009,12
500059573001010,17
500059573001012,0
500059573001013,0
500059573001015,74
500059573001016,8
500059573001018,4
500059573001019,0
500059573001020,13
500059573001022,2
500059573001023,83
500059573001025,80
500059573002000,5
500059573002002,0
500059573002003,0
500059573002004,0
500059573002006,0
500059573002007,0
500059573002009,45
500059573002010,0
500059573002011,19
500059573002012,51
500059573002013,18
500059573002014,0
500059573002015,0
500059573002016,28
500059573002017,0
500059573002018,5
500059573002019,0
500059573002020,0
500059573002021,0
500059573002022,0
500059573002024,47
500059573002025,21
500059573002027,45
500059573002028,102
500059573002030,63
500059573001001,0
500059573001004,9
500059573001008,25
500059573001011,0
500059573001014,144
500059573001017,22
500059573001021,46
500059573001024,24
500059573002001,47
500059573002005,21
500059573002008,0
500059573002026,49
500059573002029,0
500059573003000,0
500059573003003,0
500059573003006,0
500059573003009,2
500059573003013,0
500059573003016,25
500059573003019,84
500059573003023,22
500059573003026,89
500059573003044,30
500059573003047,42
500059573003050,44
500059573003054,0
500059573003057,102
500059573003060,9
500059574001042,0
500059574001093,55
500059574002030,0
500059574001000,0
500059574001001,4
500059574001003,13
500059574001004,0
500059574001006,0
500059574001007,8
500059574001009,8
500059574001010,8
500059574001012,0
500059574001013,14
500059574001014,4
500059574001016,86
500059574001017,0
500059574001019,56
500059574001020,30
500059574001022,15
500059574001023,44
500059574001025,0
500059574001026,10
500059574001027,0
500059574001029,7
500059574001030,16
500059574001031,0
500059574001032,1
500059574001033,41
500059574001034,0
500059574001035,0
500059574001036,0
500059574001037,0
500059574001038,0
500059574001039,12
500059574001040,0
500059574001041,4
500059574001043,0
500059574001044,0
500059574001046,62
500059574001047,0
500059574001049,0
500059574001050,0
500059574001051,0
500059574001053,0
500059574001054,4
500059574001056,22
500059574001057,0
500059574001059,0
500059574001060,0
500059574001062,7
500059574001063,16
500059574001064,7
500059574001066,15
500059574001067,0
500059574001069,5
500059574001070,0
500059574001072,0
500059574001073,41
500059574001074,0
500059574001076,0
500059574001077,6
500059574001079,0
500059574001080,195
500059574001081,30
500059574001082,0
500059574001083,21
500059574001084,0
500059574001085,0
500059574001086,0
500059574001087,0
500059574001088,37
500059574001089,47
500059574001090,31
500059574001091,122
500059574001092,0
500059574001094,0
500059574001095,64
500059574001097,0
500059574001098,0
500059574001100,0
500059574001101,6
500059574001102,0
500059574001104,0
500059574001105,8
500059574001107,7
500059574001108,4
500059574002001,5
500059574002002,0
500059574002004,76
500059574002005,57
500059574002006,126
500059574002008,0
500059574002009,21
500059574002011,13
500059574002012,0
500059574002014,0
500059574002015,0
500059574002016,39
500059574002018,88
500059574002019,0
500059574002021,0
500059574002022,65
500059574002023,0
500059574002024,0
500059574002025,101
500059574002026,62
500059574002027,1
500059574002028,27
500059574002029,58
500059574002031,38
500059574002032,86
500059574003000,85
500059574003001,46
500059574003002,87
500059574003003,41
500059574003004,48
500059574003006,48
500059574003007,22
500059574003009,73
500059574003010,51
500059574003012,33
500059574003013,12
500059574003015,99
500059574003016,85
500059574003017,13
500059574003019,262
500059574003020,7
500059574003022,0
500059574001002,6
500059574001005,0
500059574001008,16
500059574001011,76
500059574001015,4
500059574001018,0
500059574001021,0
500059574001024,1
500059574001028,0
500059574001045,4
500059574001048,7
500059574001052,19
500059574001055,0
500059574001058,1
500059574001061,3
500059574001065,36
500059574001068,22
500059574001071,0
500059574001075,6
500059574001078,0
500059574001096,0
500059574001099,0
500059574001103,13
500059574001106,20
500059574002000,0
500059574002003,9
500059574002007,71
500059574002010,72
500059574002013,0
500059574002017,99
500059574002020,0
500059574003005,33
500059574003008,23
500059574003011,0
500059574003014,7
500059574003018,93
500059574003021,0
500059575001015,21
500059575001062,7
500059575003016,31
500059575003019,18
500059575003020,31
500059575003022,0
500059575003023,81
500059575003025,16
500059575003026,0
500059575003027,0
500059575003029,0
500059575003030,2
500059575003032,0
500059575003033,22
500059575003034,0
500059575001000,9
500059575001002,126
500059575001003,0
500059575001004,0
500059575001005,8
500059575001006,20
500059575001007,6
500059575001008,0
500059575001009,51
500059575001010,14
500059575001011,12
500059575001012,0
500059575001013,0
500059575001016,0
500059575001018,49
500059575001019,7
500059575001020,26
500059575001022,4
500059575001023,0
500059575001025,74
500059575001026,27
500059575001028,0
500059575001029,150
500059575001030,6
500059575001032,23
500059575001033,22
500059575001035,88
500059575001036,15
500059575001038,242
500059575001039,29
500059575001041,2
500059575001042,0
500059575001043,0
500059575001045,14
500059575001046,2
500059575001048,0
500059575001049,2
500059575001050,0
500059575001051,11
500059575001052,4
500059575001053,6
500059575001054,36
500059575001055,5
500059575001056,9
500059575001057,0
500059575001058,29
500059575001059,0
500059575001060,4
500059575001061,11
500059575001063,0
500059575001064,0
500059575001066,5
500059575001067,0
500059575001069,0
500059575001070,0
500059575001071,8
500059575001073,37
500059575001074,48
500059575001076,0
500059575002000,201
500059575002002,20
500059575002003,12
500059575002005,28
